created_at,entry_id,field1,field2,field3,field4,field5,field6
2017-04-03 01:30:00 UTC,1,0.41,38.03,88.0,27,77.53585369999998,12.9331591
2017-04-03 01:45:00 UTC,2,0.41,38.03,87.03,23,77.53585369999998,12.9331591
2017-04-03 02:00:00 UTC,3,0.42,33.44,85.56,27,77.5370419,12.9335261
2017-04-03 02:15:00 UTC,4,0.4,24.27,83.78,24,77.5415656,12.932288
2017-04-03 02:30:00 UTC,5,0.39,24.27,81.97,25,77.5455963,12.9311585
2017-04-03 02:45:00 UTC,6,0.38,24.27,80.28,26,77.53668359999999,12.9342149
2017-04-03 03:00:00 UTC,7,0.41,26.3,77.42,24,77.6208559,12.927313999999999
2017-04-03 03:15:00 UTC,8,0.41,30.56,74.23,24,77.6215273,12.9273019
2017-04-03 03:30:00 UTC,9,0.43,30.56,70.92,35,77.6215535,12.927409800000001
2017-04-03 03:45:00 UTC,10,0.36,30.56,69.64,35,77.62162140000001,12.926589
2017-04-03 04:00:00 UTC,11,0.39,32.56,66.76,32,77.6214825,12.9274323
2017-04-03 04:15:00 UTC,12,0.43,36.77,64.26,33,77.6215464,12.9288756
2017-04-03 04:45:00 UTC,13,0.46,36.77,58.97,32,77.6223775,12.9304763
2017-04-03 05:00:00 UTC,14,0.46,34.62,56.97,33,77.6225119,12.9312178
2017-04-03 05:15:00 UTC,15,0.44,30.33,52.95,30,77.6241336,12.935066699999998
2017-04-03 04:30:00 UTC,16,0.48,30.33,49.98,34,77.62416479999999,12.935111099999999
2017-04-03 05:45:00 UTC,17,0.56,30.33,47.41,31,77.626099,12.936701300000001
2017-04-03 06:00:00 UTC,18,0.57,32.91,43.19,30,77.6281139,12.9359064
2017-04-03 06:15:00 UTC,19,0.6,37.58,38.44,35,77.6333144,12.929896699999999
2017-04-03 05:30:00 UTC,20,0.56,37.58,37.57,32,77.63748709999999,12.925148
2017-04-03 06:45:00 UTC,21,0.33,37.58,34.37,30,77.64011500000001,12.923829099999999
2017-04-03 07:00:00 UTC,22,0.36,38.44,32.91,33,77.6458307,12.9245381
2017-04-03 07:15:00 UTC,23,0.37,40.35,29.85,35,77.652599,12.9242673
2017-04-03 07:30:00 UTC,24,0.37,40.35,29.66,35,77.6564075,12.923387
2017-04-03 07:45:00 UTC,25,0.37,40.35,28.98,34,77.6608443,12.921877
2017-04-03 08:00:00 UTC,26,0.36,40.9,27.03,31,77.6617824,12.9216405
2017-04-03 08:15:00 UTC,27,0.34,42.12,25.53,30,77.6623187,12.921501800000001
2017-04-03 08:30:00 UTC,28,0.34,42.12,23.65,30,77.6630196,12.921303199999999
2017-04-03 08:45:00 UTC,29,0.34,42.12,23.39,35,77.66337109999999,12.9212221
2017-04-03 09:00:00 UTC,30,0.34,39.43,22.51,30,77.66516159999999,12.9208757
2017-04-03 09:15:00 UTC,31,0.31,33.76,21.43,35,77.6681559,12.922248
2017-04-03 09:30:00 UTC,32,0.29,33.76,20.62,31,77.6705315,12.9233966
2017-04-03 09:45:00 UTC,33,0.44,33.76,19.99,31,77.67103399812622,12.923647343820093
2017-04-03 10:00:00 UTC,34,0.41,31.49,19.68,34,77.67103399812622,12.923647343820093
2017-04-03 10:15:00 UTC,35,0.39,26.71,18.66,33,77.67103399812622,12.923647343820093
2017-04-03 10:30:00 UTC,36,0.42,26.71,18.7,30,77.67103399812622,12.923647343820093
2017-04-03 10:45:00 UTC,37,0.43,26.71,19.12,32,77.67156640000002,12.923847300000002
2017-04-03 11:00:00 UTC,38,0.46,29.84,18.57,33,77.6724427,12.9242174
2017-04-03 11:15:00 UTC,39,0.48,36.76,20.2,34,77.6734438,12.9246415
2017-04-03 11:30:00 UTC,40,0.49,36.76,21.64,35,77.67357779999999,12.9247681
2017-04-03 11:45:00 UTC,41,0.45,36.76,22.02,33,77.673716,12.9247294
2017-04-03 12:00:00 UTC,42,0.42,37.77,21.75,30,77.6752689,12.925505900000001
2017-04-03 12:15:00 UTC,43,0.41,39.88,22.02,33,77.67610429999999,12.926099
2017-04-03 12:30:00 UTC,44,0.41,39.88,20.89,25,77.677769,12.9267541
2017-04-03 12:45:00 UTC,45,0.41,39.88,20.74,26,77.68124990000001,12.928618400000001
2017-04-03 13:00:00 UTC,46,0.5,45.08,22.05,25,77.682916,12.929225500000001
2017-04-03 13:15:00 UTC,47,0.52,56.03,23.2,23,77.6898324,12.9342931
2017-04-03 13:30:00 UTC,48,0.52,56.03,22.24,24,77.69265290000001,12.936999
2017-04-03 13:45:00 UTC,49,0.53,56.03,19.55,24,77.69328320000001,12.9399169
2017-04-03 14:00:00 UTC,50,0.53,59.67,19.86,24,77.6880254,12.9389656
2017-04-03 14:15:00 UTC,51,0.52,67.74,18.72,24,77.6906574,12.9361709
2017-04-03 14:30:00 UTC,52,0.54,67.74,18.5,25,77.6910741,12.9399414
2017-04-04 01:30:00 UTC,53,0.39,40.32,69.72,27,77.6898243,12.9395269
2017-04-04 01:45:00 UTC,54,0.39,40.32,72.29,25,77.68971409999999,12.9400035
2017-04-04 02:00:00 UTC,55,0.38,40.51,72.47,26,77.6896146,12.9403939
2017-04-04 02:15:00 UTC,56,0.37,40.93,72.35,24,77.6902061,12.9406009
2017-04-04 02:30:00 UTC,57,0.38,40.93,71.28,25,77.6912348,12.9419302
2017-04-04 02:45:00 UTC,58,0.4,40.93,70.4,24,77.69111749999998,12.942037
2017-04-04 03:00:00 UTC,59,0.38,42.25,68.94,27,77.69111749999998,12.942037
2017-04-04 03:15:00 UTC,60,0.42,45.17,67.53,25,77.69111749999998,12.942037
2017-04-04 03:30:00 UTC,61,0.44,45.17,66.04,35,77.69111749999998,12.942037
2017-04-04 03:45:00 UTC,62,0.34,45.17,63.9,35,77.6891945,12.9427262
2017-04-04 04:00:00 UTC,63,0.39,41.61,61.55,32,77.6915534,12.941664999999999
2017-04-04 04:15:00 UTC,64,0.41,33.74,58.64,35,77.69035670000001,12.9409812
2017-04-04 04:30:00 UTC,65,0.45,33.74,54.08,30,77.6896712,12.940038699999999
2017-04-04 04:45:00 UTC,66,0.47,33.74,50.2,35,77.6896782,12.9396761
2017-04-04 05:00:00 UTC,67,0.5,35.77,47.62,35,77.6899824,12.9395748
2017-04-04 05:15:00 UTC,68,0.55,40.25,44.32,30,77.6896645,12.939410699999998
2017-04-04 05:30:00 UTC,69,0.55,40.25,41.8,32,77.6930251,12.939978
2017-04-04 05:45:00 UTC,70,0.53,40.25,38.43,32,77.6953155,12.939862
2017-04-04 06:00:00 UTC,71,0.54,37.06,35.74,32,77.6976205,12.9439129
2017-04-04 06:15:00 UTC,72,0.59,29.61,31.33,33,77.70018,12.9528644
2017-04-04 06:30:00 UTC,73,0.57,29.61,30.84,35,77.7009083,12.955496499999999
2017-04-04 06:45:00 UTC,74,0.37,29.61,31.61,30,77.7014322,12.959194199999999
