datetime,field1,field2,field3,field4,field5,field6
2017-03-27 08:07:15,0.57,42,48,28,77.53585369999998,12.9331591
2017-03-27 08:11:19,0.57,42,48,28,77.53585369999998,12.9331591
2017-03-27 08:14:23,0.57,41,47,28,77.5370419,12.9335261
2017-03-27 08:18:44,0.57,41,46,28,77.5415656,12.932288
2017-03-27 08:23:02,0.57,41,46,28,77.5455963,12.9311585
2017-03-27 08:29:06,0.58,41,43,28,77.53668359999999,12.9342149
2017-03-27 08:33:19,0.58,40,43,28,77.6208559,12.927313999999999
2017-03-27 08:38:22,0.54,40,42,28,77.6215273,12.9273019
2017-03-27 08:43:44,0.54,40,41,28,77.6215535,12.927409800000001
2017-03-27 08:48:57,0.53,40,41,28,77.62162140000001,12.926589
2017-03-27 08:54:02,0.5,40,41,28,77.6214825,12.9274323
2017-03-27 08:59:34,0.47,38,39,28,77.6215464,12.9288756
2017-03-27 09:04:28,0.44,37,39,28,77.6223775,12.9304763
2017-03-27 09:08:56,0.48,37,39,28,77.6225119,12.9312178
2017-03-27 09:14:07,0.4,35,39,29,77.6241336,12.935066699999998
2017-03-27 09:19:35,0.36,32,36,29,77.62416479999999,12.935111099999999
2017-03-27 09:24:45,0.36,33,36,29,77.626099,12.936701300000001
2017-03-27 09:28:37,0.36,30,33,29,77.6281139,12.9359064
2017-03-27 09:33:20,0.37,28,33,29,77.6333144,12.929896699999999
2017-03-27 09:38:12,0.37,28,32,29,77.63748709999999,12.925148
2017-03-27 09:44:43,0.37,25,29,29,77.64011500000001,12.923829099999999
2017-03-27 09:49:23,0.37,25,27,29,77.6458307,12.9245381
2017-03-27 09:53:56,0.37,25,25,29,77.652599,12.9242673
2017-03-27 09:59:01,0.4,25,23,30,77.6564075,12.923387
2017-03-27 10:05:49,0.4,25,22,30,77.6608443,12.921877
2017-03-27 13:15:05,0.5,24,13,35,77.6617824,12.9216405
2017-03-27 13:19:21,0.5,24,13,35,77.6623187,12.921501800000001
2017-03-27 13:23:05,0.49,24,13,35,77.6630196,12.921303199999999
2017-03-27 13:30:33,0.47,24,12,35,77.66337109999999,12.9212221
2017-03-27 13:35:14,0.47,21,12,35,77.66516159999999,12.9208757
2017-03-27 13:39:43,0.47,21,12,35,77.6681559,12.922248
2017-03-27 13:44:76,0.47,21,12,35,77.6705315,12.9233966
2017-03-27 13:48:02,0.5,21,12,35,77.67103399812622,12.923647343820093
2017-03-27 13:52:54,0.53,21,12,35,77.67103399812622,12.923647343820093
2017-03-27 13:55:30,0.53,20,12,35,77.67103399812622,12.923647343820093
2017-03-27 14:00:32,0.53,20,12,35,77.67103399812622,12.923647343820093
2017-03-27 14:04:40,0.55,20,12,35,77.67156640000002,12.923847300000002
2017-03-27 14:09:23,0.55,17,12,35,77.6724427,12.9242174
2017-03-27 14:13:56,0.55,17,12,35,77.6734438,12.9246415
2017-03-27 14:19:01,0.58,17,12,35,77.67357779999999,12.9247681
2017-03-27 14:23:23,0.6,17,12,35,77.673716,12.9247294
2017-03-27 14:28:11,0.6,17,12,35,77.6752689,12.925505900000001
2017-03-27 14:33:32,0.61,17,12,35,77.67610429999999,12.926099
2017-03-27 14:38:10,0.56,16,12,35,77.677769,12.9267541
2017-03-27 14:42:28,0.53,16,12,35,77.68124990000001,12.928618400000001
2017-03-27 14:48:35,0.45,16,12,35,77.682916,12.929225500000001
2017-03-27 14:53:44,0.43,16,12,35,77.6898324,12.9342931
2017-03-27 16:56:13,0.54,14,10,32,77.69265290000001,12.936999
2017-03-27 17:01:04,0.54,15,10,32,77.69328320000001,12.9399169
