datetime,field1,field2,field3,field4,field5,field6
2017-04-07 07:00:00,0.19,23.31,99.08,25,77.53585369999999,12.9331591
2017-04-07 07:15:00,0.46,23.31,99.08,23,77.5377937,12.9323631
2017-04-07 07:30:00,0.54,23.31,99.08,24,77.5397337,12.9315671
2017-04-07 07:45:00,0.61,19.24,99.08,25,77.5416737,12.930771100000001
2017-04-07 08:00:00,0.68,12.2,99.08,26,77.54361370000001,12.929975100000002
2017-04-07 08:15:00,0.43,12.2,99.08,23,77.54555370000001,12.929179100000002
2017-04-07 08:30:00,0.39,12.2,97.3,27,77.54749370000002,12.928383100000003
2017-04-07 08:45:00,0.45,12.61,91.66,24,77.54943370000002,12.927587100000004
2017-04-07 09:00:00,0.47,13.29,86.76,33,77.55137370000003,12.926791100000004
2017-04-07 09:15:00,0.41,13.29,82.91,33,77.55331370000003,12.925995100000005
2017-04-07 09:30:00,0.2,13.29,77.47,30,77.55525370000004,12.925199100000006
2017-04-07 09:45:00,0.27,14.15,75.01,33,77.55719370000004,12.924403100000006
2017-04-07 10:00:00,0.37,15.57,72.91,31,77.55913370000005,12.923607100000007
2017-04-07 10:15:00,0.39,15.57,71.36,30,77.56107370000005,12.922811100000008
2017-04-07 10:30:00,0.32,15.57,69.31,31,77.56301370000006,12.922015100000008
2017-04-07 10:45:00,0.3,20.09,67.03,35,77.56495370000006,12.921219100000009
2017-04-07 11:15:00,0.43,27.53,62.79,35,77.56689370000007,12.92042310000001
2017-04-07 11:30:00,0.47,27.53,57.5,35,77.56883370000007,12.91962710000001
2017-04-07 11:45:00,0.45,23.16,51.56,31,77.57077370000007,12.918831100000011
2017-04-07 12:00:00,0.41,15.96,48.71,30,77.57271370000008,12.918035100000012
2017-04-07 12:15:00,0.47,15.96,46.59,34,77.57465370000008,12.917239100000012
2017-04-07 12:30:00,0.56,15.96,41.24,34,77.57659370000009,12.916443100000013
2017-04-07 12:45:00,0.48,14.92,40.07,31,77.5785337000001,12.915647100000013
2017-04-07 13:00:00,0.43,13.2,37.76,31,77.5804737000001,12.914851100000014
2017-04-07 13:15:00,0.43,13.2,34.03,31,77.5824137000001,12.914055100000015
2017-04-07 13:30:00,0.35,13.2,32.35,33,77.58435370000011,12.913259100000015
2017-04-07 13:45:00,0.3,13.8,30.43,31,77.58629370000011,12.912463100000016
2017-04-07 14:00:00,0.27,14.79,29.43,30,77.58823370000012,12.911667100000017
2017-04-07 14:15:00,0.49,14.79,28.8,35,77.59017370000012,12.910871100000017
2017-04-07 14:30:00,0.52,14.79,25.37,35,77.59211370000013,12.910075100000018
2017-04-07 14:45:00,0.47,18.64,25.45,34,77.59405370000013,12.909279100000019
2017-04-07 15:00:00,0.55,24.98,25.41,35,77.59599370000014,12.90848310000002
2017-04-07 15:15:00,0.58,24.98,23.64,32,77.59793370000014,12.90768710000002
2017-04-07 15:30:00,0.66,24.98,24.18,30,77.59987370000015,12.90689110000002
2017-04-07 15:45:00,0.64,22.04,24.59,33,77.60181370000015,12.906095100000021
2017-04-07 16:00:00,0.71,17.21,23.54,33,77.60375370000015,12.905299100000022
2017-04-07 16:15:00,0.56,17.21,23.54,31,77.60569370000016,12.904503100000023
2017-04-07 16:30:00,0.7,17.21,22.5,32,77.60763370000016,12.903707100000023
2017-04-07 16:45:00,0.71,17.18,23.97,33,77.60957370000017,12.902911100000024
2017-04-07 17:00:00,0.79,17.12,22.9,34,77.61151370000017,12.902115100000024
2017-04-07 17:15:00,0.47,17.12,23.62,32,77.61345370000018,12.901319100000025
2017-04-07 17:30:00,0.46,17.12,23.98,33,77.61539370000018,12.900523100000026
2017-04-07 17:45:00,0.48,19.31,24.53,30,77.61733370000019,12.899727100000026
2017-04-07 18:00:00,0.64,22.91,24.06,25,77.61927370000019,12.898931100000027
2017-04-07 18:15:00,0.57,22.91,24.66,27,77.6212137000002,12.898135100000028
2017-04-07 18:30:00,0.55,22.91,24.6,27,77.6231537000002,12.897339100000028
2017-04-07 18:45:00,0.59,24.88,26.28,27,77.6250937000002,12.896543100000029
2017-04-07 19:00:00,0.67,28.12,32.96,23,77.62703370000021,12.89574710000003
2017-04-07 19:15:00,0.49,28.12,36.56,24,77.62897370000022,12.89495110000003
2017-04-07 19:30:00,0.53,28.12,38.51,26,77.63091370000022,12.894155100000031
